243;"Ouargla";"Ouargla";"Algeria";"OGX";"DAUU";31.917223;5.412778;492;1;"P";"Africa/Algiers" Error at Column: 10 cause "P" is not valid
580;"Schiphol";"Amsterdam";"Netherlands";"AMS";"EHAM";52.308613;4.763889;-11;1;"E";"Europe/Amsterdam" Error at Column: 8 cause "-11" is not valid
589;"Lelystad";"Lelystad";"Netherlands";"";"EHLE";52.460278;5.527222;-13;1;"E";"Europe/Amsterdam" Error at Column: 8 cause "-13" is not valid
591;"Rotterdam";"Rotterdam";"Netherlands";"RTM";"EHRD";51.956944;4.437222;-15;1;"E";"Europe/Amsterdam" Error at Column: 8 cause "-15" is not valid
862;"Tutuka Power Station";"Tutuka";"South Africa";"";"FATT";-26.776556;29.338778;30000;2;"U";"Africa/Johannesburg" Error at Column: 8 cause "30000" is not valid
1126;"Alexandria Intl";"Alexandria";"Egypt";"ALY";"HEAX";31.183903;29.948889;-6;2;"U";"Africa/Cairo" Error at Column: 8 cause "-6" is not valid
1595;"En Yahav";"Eyn-yahav";"Israel";"";"LLEY";30.621656;35.203325;-164;2;"U";"Asia/Jerusalem" Error at Column: 8 cause "-164" is not valid
1600;"I Bar Yehuda";"Metzada";"Israel";"";"LLMZ";31.328169;35.388608;-1266;2;"U";"Asia/Jerusalem" Error at Column: 8 cause "-1266" is not valid
2123;"Rasht";"Rasht";"Iran";"RAS";"OIGG";37.325314;49.605817;-40;3.5;"E";"Asia/Tehran" Error at Column: 8 cause "-40" is not valid
2151;"Ramsar";"Ramsar";"Iran";"RZR";"OINR";36.909908;50.679589;-70;3.5;"E";"Asia/Tehran" Error at Column: 8 cause "-70" is not valid
2966;"Astrakhan";"Astrakhan";"Russia";"ASF";"URWA";46.283333;48.006278;-65;4;"N";"Europe/Moscow" Error at Column: 8 cause "-65" is not valid
3689;"Imperial Co";"Imperial";"United States";"IPL";"KIPL";32.834219;-115.578744;-54;-8;"A";"America/Los_Angeles" Error at Column: 8 cause "-54" is not valid
3758;"El Centro Naf";"El Centro";"United States";"NJK";"KNJK";32.829222;-115.671667;-42;-8;"A";"America/Los_Angeles" Error at Column: 8 cause "-42" is not valid
5932;"Noshahr Airport";"Noshahr";"Iran";"NSH";"OINN";36.663333;51.464722;-61;3.5;"E";"Asia/Tehran" Error at Column: 8 cause "-61" is not valid
6459;"Magas";"Nazran";"Russia";"%u0";"%u04";43.323815;45.017761;1060;4;"N";"Europe/Moscow" Error at Column: 5 cause "%u04" is not valid
6747;"Gorgan Airport";"Gorgan";"Iran";"GBT";"OING";36.909381;54.401339;-24;3.5;"E";"Asia/Tehran" Error at Column: 8 cause "-24" is not valid
8275;"Alexandria";"Alexandria";"United States";"ALX";"ALX_";38.806346;-77.0621;1;-5;"A";"America/New_York" Error at Column: 5 cause "ALX_" is not valid
8640;"Yongning Air Base";"Beijing";"China";"";"CN-0";40.50310135;116.1080017;1677;8;"U";"Asia/Chongqing" Error at Column: 5 cause "CN-0" is not valid
